video,video_index,material,frame_idx,timestamp_sec,tool_tip_x,tool_tip_y,bbox_x,bbox_y,bbox_w,bbox_h,roi_x1,roi_y1,roi_x2,roi_y2,delta_x,delta_y,tracking_status
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,83,1.383,450,226,443,219,15,14,300,76,600,376,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,84,1.4,450,226,443,219,15,14,300,76,600,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,85,1.417,450,225,443,218,15,14,300,75,600,375,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,86,1.433,450,225,443,218,15,14,300,75,600,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,87,1.45,450,224,443,217,15,14,300,74,600,374,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,88,1.467,449,225,443,218,15,14,299,75,599,375,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,89,1.483,449,225,442,218,15,14,299,75,599,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,90,1.5,449,224,443,217,15,14,299,74,599,374,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,91,1.517,449,224,442,217,15,14,299,74,599,374,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,92,1.533,449,224,443,217,15,14,299,74,599,374,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,93,1.55,448,224,442,217,15,14,298,74,598,374,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,94,1.567,449,224,443,217,15,14,299,74,599,374,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,95,1.583,448,224,442,217,15,14,298,74,598,374,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,96,1.6,449,223,443,216,15,14,299,73,599,373,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,97,1.617,448,223,442,215,15,14,298,73,598,373,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,98,1.633,447,223,441,216,15,14,297,73,597,373,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,99,1.65,447,223,441,216,15,14,297,73,597,373,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,100,1.667,448,222,443,218,13,10,298,72,598,372,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,101,1.683,448,222,443,218,13,10,298,72,598,372,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,102,1.7,447,222,442,218,13,10,297,72,597,372,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,103,1.717,448,222,443,218,13,10,298,72,598,372,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,104,1.733,448,222,443,218,13,10,298,72,598,372,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,105,1.75,448,221,443,217,13,10,298,71,598,371,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,106,1.767,448,221,442,217,13,10,298,71,598,371,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,107,1.783,448,220,442,216,13,10,298,70,598,370,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,108,1.8,448,220,442,216,13,10,298,70,598,370,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,109,1.817,448,220,442,215,13,10,298,70,598,370,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,110,1.833,449,220,443,215,13,10,299,70,599,370,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,111,1.85,449,219,444,214,13,10,299,69,599,369,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,112,1.867,449,218,443,213,13,10,299,68,599,368,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,113,1.883,450,218,444,213,13,10,300,68,600,368,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,114,1.9,450,218,444,213,13,10,300,68,600,368,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,115,1.917,449,218,443,213,13,10,299,68,599,368,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,116,1.933,450,221,445,217,13,10,300,71,600,371,1,3,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,117,1.95,450,221,445,217,13,10,300,71,600,371,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,118,1.967,452,224,447,222,13,10,302,74,602,374,2,3,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,119,1.983,453,224,448,222,13,10,303,74,603,374,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,120,2.0,453,223,448,221,13,10,303,73,603,373,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,121,2.017,453,223,448,221,13,10,303,73,603,373,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,122,2.033,454,223,449,221,13,10,304,73,604,373,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,123,2.05,453,223,448,220,13,10,303,73,603,373,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,124,2.067,454,222,449,219,13,10,304,72,604,372,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,125,2.083,454,221,450,218,13,10,304,71,604,371,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,126,2.1,455,220,451,217,13,10,305,70,605,370,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,127,2.117,455,220,451,217,13,10,305,70,605,370,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,128,2.133,455,220,451,216,13,10,305,70,605,370,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,129,2.15,457,223,453,221,13,10,307,73,607,373,2,3,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,130,2.167,457,223,453,221,13,10,307,73,607,373,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,131,2.183,455,218,450,214,13,10,305,68,605,368,-2,-5,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,132,2.2,455,218,450,214,13,10,305,68,605,368,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,133,2.217,456,218,451,214,13,10,306,68,606,368,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,134,2.233,456,217,451,213,13,10,306,67,606,367,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,135,2.25,456,216,451,212,13,10,306,66,606,366,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,136,2.267,457,217,452,213,13,10,307,67,607,367,1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,137,2.283,457,218,453,215,13,10,307,68,607,368,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,138,2.3,457,218,453,214,13,10,307,68,607,368,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,139,2.317,457,217,453,213,13,10,307,67,607,367,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,140,2.333,458,216,453,212,13,10,308,66,608,366,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,141,2.35,458,216,453,212,13,10,308,66,608,366,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,142,2.367,458,216,453,212,13,10,308,66,608,366,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,143,2.383,458,215,453,211,13,10,308,65,608,365,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,144,2.4,459,215,454,211,13,10,309,65,609,365,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,145,2.417,458,215,453,210,13,10,308,65,608,365,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,146,2.433,458,214,453,209,13,10,308,64,608,364,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,147,2.45,458,216,453,212,13,10,308,66,608,366,0,2,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,148,2.467,458,215,453,211,13,10,308,65,608,365,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,149,2.483,458,215,453,211,13,10,308,65,608,365,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,150,2.5,459,215,454,211,13,10,309,65,609,365,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,151,2.517,458,216,453,212,13,10,308,66,608,366,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,152,2.533,458,216,453,212,13,10,308,66,608,366,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,153,2.55,459,215,454,211,13,10,309,65,609,365,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,154,2.567,459,215,454,211,13,10,309,65,609,365,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,155,2.583,459,215,454,211,13,10,309,65,609,365,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,156,2.6,459,216,454,212,13,10,309,66,609,366,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,157,2.617,460,215,455,211,13,10,310,65,610,365,1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,158,2.633,460,215,455,211,13,10,310,65,610,365,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,159,2.65,460,216,455,212,13,10,310,66,610,366,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,160,2.667,460,216,455,212,13,10,310,66,610,366,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,161,2.683,462,218,457,215,13,10,312,68,612,368,2,2,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,162,2.7,462,218,457,216,13,10,312,68,612,368,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,163,2.717,462,219,457,217,13,10,312,69,612,369,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,164,2.733,462,218,457,216,13,10,312,68,612,368,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,165,2.75,462,218,457,216,13,10,312,68,612,368,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,166,2.767,462,217,457,215,13,10,312,67,612,367,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,167,2.783,462,217,457,215,13,10,312,67,612,367,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,168,2.8,462,217,457,214,13,10,312,67,612,367,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,169,2.817,462,214,457,211,13,10,312,64,612,364,0,-3,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,170,2.833,462,214,457,211,13,10,312,64,612,364,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,171,2.85,463,214,458,211,13,10,313,64,613,364,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,172,2.867,462,214,457,211,13,10,312,64,612,364,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,173,2.883,463,215,458,212,13,10,313,65,613,365,1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,174,2.9,463,216,458,213,13,10,313,66,613,366,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,175,2.917,465,218,460,216,13,10,315,68,615,368,2,2,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,176,2.933,464,212,460,208,13,10,314,62,614,362,-1,-6,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,177,2.95,465,212,460,208,13,10,315,62,615,362,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,178,2.967,466,213,461,209,13,10,316,63,616,363,1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,179,2.983,465,213,460,209,13,10,315,63,615,363,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,180,3.0,466,213,461,210,13,10,316,63,616,363,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,181,3.017,466,213,461,210,13,10,316,63,616,363,0,0,TRACKED
