video,video_index,material,split,frame_idx,timestamp_sec,tool_tip_x,tool_tip_y,crop_tip_x,crop_tip_y,roi_x1,roi_y1,roi_x2,roi_y2,crop_w,crop_h,laplacian_var,motion_score,tracking_status,category,crop_path
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,195,3.25,513,205,150,150,363,55,663,355,300,300,118.24,8.02,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000195.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,210,3.5,514,206,150,150,364,56,664,356,300,300,103.19,26.26,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000210.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,225,3.75,515,205,150,150,365,55,665,355,300,300,97.3,19.84,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000225.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,240,4.0,517,205,150,150,367,55,667,355,300,300,97.0,13.33,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000240.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,255,4.25,517,204,150,150,367,54,667,354,300,300,94.91,9.0,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000255.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,270,4.5,521,205,150,150,371,55,671,355,300,300,102.51,8.25,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000270.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,285,4.75,522,206,150,150,372,56,672,356,300,300,100.54,21.23,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000285.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,300,5.0,526,203,150,150,376,53,676,353,300,300,126.42,26.15,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000300.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,315,5.25,530,205,150,150,380,55,680,355,300,300,111.68,7.26,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000315.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,330,5.5,530,205,150,150,380,55,680,355,300,300,122.52,16.28,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000330.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,345,5.75,531,204,150,150,381,54,681,354,300,300,124.25,6.88,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000345.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,360,6.0,531,198,150,150,381,48,681,348,300,300,104.2,9.21,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000360.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,375,6.25,533,200,150,150,383,50,683,350,300,300,101.81,24.72,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000375.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,390,6.5,536,199,150,150,386,49,686,349,300,300,98.33,20.96,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000390.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,405,6.75,537,198,150,150,387,48,687,348,300,300,90.66,22.23,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000405.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,420,7.0,538,197,150,150,388,47,688,347,300,300,90.44,9.92,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000420.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,435,7.25,538,196,150,150,388,46,688,346,300,300,104.75,23.22,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000435.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,450,7.5,537,198,150,150,387,48,687,348,300,300,104.88,8.45,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000450.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,465,7.75,533,195,150,150,383,45,683,345,300,300,110.79,7.59,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000465.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,480,8.0,533,194,150,150,383,44,683,344,300,300,107.13,5.47,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000480.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,495,8.25,534,194,150,150,384,44,684,344,300,300,115.78,7.4,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000495.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,510,8.5,532,194,150,150,382,44,682,344,300,300,112.89,7.84,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000510.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,525,8.75,526,189,150,150,376,39,676,339,300,300,105.43,9.5,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000525.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,540,9.0,530,191,150,150,380,41,680,341,300,300,106.43,25.88,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000540.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,555,9.25,531,188,150,150,381,38,681,338,300,300,114.03,11.27,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000555.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,570,9.5,525,184,150,150,375,34,675,334,300,300,117.76,12.56,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000570.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,585,9.75,530,183,150,150,380,33,680,333,300,300,137.17,16.17,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000585.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,600,10.0,525,187,150,150,375,37,675,337,300,300,198.26,15.83,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000600.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,615,10.25,523,183,150,150,373,33,673,333,300,300,116.08,23.97,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000615.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,630,10.5,521,183,150,150,371,33,671,333,300,300,118.14,8.0,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000630.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,645,10.75,516,183,150,150,366,33,666,333,300,300,124.79,6.47,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000645.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,660,11.0,517,178,150,150,367,28,667,328,300,300,130.55,17.68,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000660.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,675,11.25,514,178,150,150,364,28,664,328,300,300,123.3,7.55,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000675.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,690,11.5,519,177,150,150,369,27,669,327,300,300,132.44,11.02,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000690.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,705,11.75,518,174,150,150,368,24,668,324,300,300,104.92,5.69,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000705.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,720,12.0,514,172,150,150,364,22,664,322,300,300,99.14,23.44,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000720.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,735,12.25,519,174,150,150,369,24,669,324,300,300,91.31,30.32,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000735.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,750,12.5,514,171,150,150,364,21,664,321,300,300,107.93,20.61,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000750.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,765,12.75,517,170,150,150,367,20,667,320,300,300,107.21,7.23,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000765.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,780,13.0,512,174,150,150,362,24,662,324,300,300,111.85,18.82,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000780.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,795,13.25,509,169,150,150,359,19,659,319,300,300,109.02,24.31,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000795.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,810,13.5,509,170,150,150,359,20,659,320,300,300,119.99,14.86,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000810.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,825,13.75,507,168,150,150,357,18,657,318,300,300,122.6,20.41,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000825.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,840,14.0,506,166,150,150,356,16,656,316,300,300,118.36,11.53,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000840.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,855,14.25,507,166,150,150,357,16,657,316,300,300,131.48,5.04,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000855.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,870,14.5,503,162,150,150,353,12,653,312,300,300,126.29,23.09,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000870.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,885,14.75,500,166,150,150,350,16,650,316,300,300,139.8,7.23,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000885.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,900,15.0,499,166,150,150,349,16,649,316,300,300,181.34,16.03,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000900.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,915,15.25,496,167,150,150,346,17,646,317,300,300,154.51,9.73,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000915.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,930,15.5,498,167,150,150,348,17,648,317,300,300,140.86,7.18,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000930.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,945,15.75,493,167,150,150,343,17,643,317,300,300,138.41,10.86,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000945.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,960,16.0,491,166,150,150,341,16,641,316,300,300,134.57,14.92,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000960.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,975,16.25,488,167,150,150,338,17,638,317,300,300,135.74,7.8,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000975.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,990,16.5,486,170,150,150,336,20,636,320,300,300,146.06,7.81,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000990.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1005,16.75,485,168,150,150,335,18,635,318,300,300,130.98,7.49,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001005.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1020,17.0,483,167,150,150,333,17,633,317,300,300,141.8,7.49,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001020.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1035,17.25,482,164,150,150,332,14,632,314,300,300,124.5,5.54,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001035.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1050,17.5,482,163,150,150,332,13,632,313,300,300,139.23,4.9,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001050.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1065,17.75,480,163,150,150,330,13,630,313,300,300,128.6,4.0,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001065.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1080,18.0,476,164,150,150,326,14,626,314,300,300,130.21,5.92,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001080.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1095,18.25,474,165,150,150,324,15,624,315,300,300,120.97,18.83,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001095.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1110,18.5,472,164,150,150,322,14,622,314,300,300,120.62,4.15,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001110.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1125,18.75,472,165,150,150,322,15,622,315,300,300,114.1,6.02,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001125.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1140,19.0,469,165,150,150,319,15,619,315,300,300,120.43,6.46,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001140.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1155,19.25,469,167,150,150,319,17,619,317,300,300,120.45,4.21,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001155.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1170,19.5,470,167,150,150,320,17,620,317,300,300,111.4,4.13,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001170.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1185,19.75,465,165,150,150,315,15,615,315,300,300,107.45,12.62,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001185.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1200,20.0,460,165,150,150,310,15,610,315,300,300,153.69,10.4,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001200.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1215,20.25,458,164,150,150,308,14,608,314,300,300,111.34,18.2,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001215.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1230,20.5,456,165,150,150,306,15,606,315,300,300,102.4,13.05,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001230.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1245,20.75,457,163,150,150,307,13,607,313,300,300,105.55,8.93,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001245.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1260,21.0,456,166,150,150,306,16,606,316,300,300,94.47,15.03,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001260.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1275,21.25,456,167,150,150,306,17,606,317,300,300,88.31,5.08,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001275.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1290,21.5,455,167,150,150,305,17,605,317,300,300,85.74,11.52,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001290.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1305,21.75,455,169,150,150,305,19,605,319,300,300,77.03,6.26,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001305.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1320,22.0,455,168,150,150,305,18,605,318,300,300,78.92,6.63,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001320.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1335,22.25,457,170,150,150,307,20,607,320,300,300,76.11,5.12,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001335.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1350,22.5,456,172,150,150,306,22,606,322,300,300,79.31,7.41,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001350.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1365,22.75,456,170,150,150,306,20,606,320,300,300,85.83,13.06,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001365.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1380,23.0,458,168,150,150,308,18,608,318,300,300,87.13,12.34,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001380.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,1395,23.25,455,170,150,150,305,20,605,320,300,300,91.29,12.02,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_001395.jpg
